,FAT_YEARMONTH,FAT_DAY,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,BEGIN_TIME,END_DAY,END_TIME,EPISODE_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE
4273,201809,6,35781,774125,I,17,M,In Water,1800,12,1400,129167,WISCONSIN,2018,September,Rip Current,Z,72,KENOSHA,MKX,CST-6,0,0,0,1,0,0,Broadcast Media
4274,201807,24,36037,783544,D,37,M,Outside/Open Areas,1000,25,2000,130972,ARIZONA,2018,July,Excessive Heat,Z,555,APACHE JUNCTION/GOLD CANYON,PSR,MST-7,0,0,1,0,0,0,Newspaper
4275,201810,20,36649,780506,I,52,M,Boating,945,20,1900,130384,WISCONSIN,2018,October,Strong Wind,Z,47,GREEN LAKE,MKX,CST-6,0,0,0,1,1000,0,Broadcast Media
4276,201810,20,36652,789972,I,52,F,Vehicle/Towed Trailer,830,20,1330,130384,WISCONSIN,2018,October,Strong Wind,Z,71,RACINE,MKX,CST-6,0,1,0,1,20000,0,Broadcast Media
4277,201810,10,36701,790424,D,87,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Storm Surge/Tide,Z,112,COASTAL BAY,TAE,EST-5,0,0,6,0,700000000,0,NWS Storm Survey
4278,201810,10,36702,790424,D,79,F,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Storm Surge/Tide,Z,112,COASTAL BAY,TAE,EST-5,0,0,6,0,700000000,0,NWS Storm Survey
4279,201810,10,36703,790424,D,60,F,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Storm Surge/Tide,Z,112,COASTAL BAY,TAE,EST-5,0,0,6,0,700000000,0,NWS Storm Survey
4280,201810,10,36704,790424,D,65,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Storm Surge/Tide,Z,112,COASTAL BAY,TAE,EST-5,0,0,6,0,700000000,0,NWS Storm Survey
4281,201810,10,36705,790424,D,91,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Storm Surge/Tide,Z,112,COASTAL BAY,TAE,EST-5,0,0,6,0,700000000,0,NWS Storm Survey
4282,201810,10,36706,790424,D,55,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Storm Surge/Tide,Z,112,COASTAL BAY,TAE,EST-5,0,0,6,0,700000000,0,NWS Storm Survey
4283,201810,10,36723,789475,I,28,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4284,201810,10,36724,789475,I,64,M,Outside/Open Areas,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4285,201810,10,36725,789475,I,43,M,Outside/Open Areas,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4286,201810,10,36726,789475,I,61,M,Outside/Open Areas,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4287,201810,10,36727,789475,I,52,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4288,201810,10,36728,789475,I,79,F,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4289,201810,10,36729,789475,I,81,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4290,201810,10,36730,789475,I,71,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4291,201810,10,36731,789475,I,78,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4292,201810,10,36732,789475,I,68,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4293,201810,10,36733,789475,I,67,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4294,201810,10,36734,789475,I,70,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4295,201810,10,36735,789475,I,64,M,Outside/Open Areas,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4296,201810,10,36736,789475,I,94,F,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4297,201810,10,36737,789475,I,60,M,Outside/Open Areas,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4298,201810,10,36738,789475,I,64,M,Outside/Open Areas,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,112,COASTAL BAY,TAE,EST-5,0,0,0,16,300000000,0,NWS Storm Survey
4299,201810,10,36739,790425,D,70,M,Vehicle/Towed Trailer,500,10,2200,130185,FLORIDA,2018,October,Storm Surge/Tide,Z,114,COASTAL GULF,TAE,EST-5,0,0,1,0,100000000,0,NWS Storm Survey
4300,201810,10,36740,790374,I,63,M,Outside/Open Areas,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,114,COASTAL GULF,TAE,EST-5,0,0,0,2,100000000,0,NWS Storm Survey
4301,201810,10,36741,790374,I,49,M,Outside/Open Areas,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,114,COASTAL GULF,TAE,EST-5,0,0,0,2,100000000,0,NWS Storm Survey
4302,201810,10,36742,790377,I,82,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,115,COASTAL FRANKLIN,TAE,EST-5,0,0,0,1,150000000,0,NWS Storm Survey
4303,201810,10,36743,790379,I,48,M,Permanent Structure,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,127,COASTAL WAKULLA,TAE,EST-5,0,0,0,1,100000000,0,NWS Storm Survey
4304,201810,10,36744,790380,I,72,F,Permanent Structure,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,17,LEON,TAE,EST-5,0,0,0,1,100000000,50000000,NWS Storm Survey
4305,201810,10,36745,790381,D,44,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,16,GADSDEN,TAE,EST-5,0,0,1,1,300000000,150000000,NWS Storm Survey
4306,201810,10,36746,790381,I,71,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,16,GADSDEN,TAE,EST-5,0,0,1,1,300000000,150000000,NWS Storm Survey
4307,201810,10,36747,790382,I,78,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,26,LIBERTY,TAE,EST-5,0,0,0,2,450000000,150000000,NWS Storm Survey
4308,201810,10,36748,790382,I,55,M,Outside/Open Areas,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,26,LIBERTY,TAE,EST-5,0,0,0,2,450000000,150000000,NWS Storm Survey
4309,201810,10,36749,790383,I,47,F,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,13,CALHOUN,TAE,EST-5,0,0,0,1,500000000,250000000,NWS Storm Survey
4310,201810,10,36750,790384,D,67,M,Mobile/Trailer Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,11,JACKSON,TAE,EST-5,0,0,1,3,500000000,150000000,NWS Storm Survey
4311,201810,10,36751,790384,I,67,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,11,JACKSON,TAE,EST-5,0,0,1,3,500000000,150000000,NWS Storm Survey
4312,201810,10,36752,790384,I,91,M,Outside/Open Areas,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,11,JACKSON,TAE,EST-5,0,0,1,3,500000000,150000000,NWS Storm Survey
4313,201810,10,36753,790384,I,61,M,Permanent Home,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,11,JACKSON,TAE,EST-5,0,0,1,3,500000000,150000000,NWS Storm Survey
4314,201810,10,36754,790385,I,52,M,Outside/Open Areas,500,10,2200,130185,FLORIDA,2018,October,Hurricane,Z,10,WASHINGTON,TAE,EST-5,0,0,0,4,2.50E+14,150000000,NWS Storm Survey
