FAT_YEARMONTH,FAT_DAY,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,BEGIN_TIME,END_DAY,END_TIME,EPISODE_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE
201306,26,20563,461682,D,35,M,Heavy Equipment/Construction,1235,26,1235,76548,FLORIDA,2013,June,Lightning,C,21,COLLIER,MFL,6/26/2013 12:35,EST-5,6/26/2013 12:35,0,0,1,0,0,0,Emergency Manager
201306,15,21106,481113,D,31,M,In Water,1600,15,1600,80322,FLORIDA,2013,June,Rip Current,Z,25,DUVAL,JAX,6/15/2013 16:00,EST-5,6/15/2013 16:00,0,0,1,0,0,0,Broadcast Media
201401,21,21920,505472,D,60,M,Unknown,0,21,2359,83739,ILLINOIS,2014,January,Cold/Wind Chill,Z,14,COOK,LOT,1/21/2014 0:00,CST-6,1/21/2014 23:59,0,0,1,0,0,0,County Official
201401,23,21919,505473,D,39,M,Permanent Home,0,23,2359,83741,ILLINOIS,2014,January,Cold/Wind Chill,Z,14,COOK,LOT,1/23/2014 0:00,CST-6,1/23/2014 23:59,0,0,1,0,0,0,County Official
201401,24,21918,505474,D,60,M,Unknown,0,24,2359,83742,ILLINOIS,2014,January,Cold/Wind Chill,Z,14,COOK,LOT,1/24/2014 0:00,CST-6,1/24/2014 23:59,0,0,1,0,0,0,County Official
201402,3,21913,505476,D,79,M,Unknown,0,4,2359,83743,ILLINOIS,2014,February,Cold/Wind Chill,Z,14,COOK,LOT,2/3/2014 0:00,CST-6,2/4/2014 23:59,0,0,3,0,0,0,County Official
201402,4,21911,505476,D,73,M,Permanent Home,0,4,2359,83743,ILLINOIS,2014,February,Cold/Wind Chill,Z,14,COOK,LOT,2/3/2014 0:00,CST-6,2/4/2014 23:59,0,0,3,0,0,0,County Official
201402,4,21912,505476,D,96,F,Permanent Home,0,4,2359,83743,ILLINOIS,2014,February,Cold/Wind Chill,Z,14,COOK,LOT,2/3/2014 0:00,CST-6,2/4/2014 23:59,0,0,3,0,0,0,County Official
201402,16,21916,505478,D,80,M,Unknown,0,16,2359,83744,ILLINOIS,2014,February,Cold/Wind Chill,Z,14,COOK,LOT,2/16/2014 0:00,CST-6,2/16/2014 23:59,0,0,1,0,0,0,County Official
201402,27,21917,505479,D,64,F,Permanent Home,0,27,2359,83745,ILLINOIS,2014,February,Cold/Wind Chill,Z,14,COOK,LOT,2/27/2014 0:00,CST-6,2/27/2014 23:59,0,0,1,0,0,0,County Official
201404,23,22742,505635,I,94,F,Mobile/Trailer Home,1835,25,1910,83752,NORTH CAROLINA,2014,April,Tornado,C,13,BEAUFORT,MHX,4/25/2014 18:35,EST-5,4/25/2014 19:10,16,0,0,1,15000000,0,NWS Storm Survey
201403,22,22580,505782,D,45,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22581,505782,D,55,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22582,505782,D,69,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22583,505782,D,5,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22584,505782,D,66,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22585,505782,D,41,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22586,505782,D,71,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22587,505782,D,46,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22588,505782,D,47,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22589,505782,D,49,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22590,505782,D,21,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22591,505782,D,59,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22592,505782,D,6,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22593,505782,D,55,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22594,505782,D,31,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22595,505782,D,64,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22596,505782,D,0,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22597,505782,D,63,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22598,505782,D,58,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22599,505782,D,65,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22600,505782,D,60,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22601,505782,D,23,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22602,505782,D,65,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22603,505782,D,19,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22604,505782,D,34,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22605,505782,D,13,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22606,505782,D,67,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22607,505782,D,75,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22608,505782,D,61,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22609,505782,D,30,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22610,505782,D,2,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22611,505782,D,58,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22612,505782,D,74,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22613,505782,D,91,F,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
201403,22,22614,505782,D,55,M,Unknown,1100,22,1100,83784,WASHINGTON,2014,March,Debris Flow,C,61,SNOHOMISH,SEW,3/22/2014 11:00,PST-8,3/22/2014 11:00,12,0,43,0,60000000,0,County Official
